filename,accumulations,exposure_s,gate_width_ns,gate_delay_ns,pressure,environment,optic,profile,center_nm,fwhm_nm,amplitude,peak_area,snr,ne_cm3,ne_method
PVC_Air_GW_500ns_GD_200ns_ACM_100mJ_Halpha_Fri May 22 2026_13.23.25_1.asc,10,0.018,500,200,6.0,Argon,Fiber,Gaussian,657.171152538924,5.220191473313104,2561.820238176306,14065.988960105165,10.81986565502139,3024643084113415.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_200ns_ACM_100mJ_Halpha_Fri May 22 2026_13.24.16_2.asc,20,0.018,500,200,6.0,Argon,Fiber,Gaussian,657.18296018644,5.324952853894231,6243.469247543365,34907.16889492712,11.280189527119155,3116156777967393.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_200ns_ACM_100mJ_Halpha_Fri May 22 2026_13.24.50_3.asc,30,0.018,500,200,6.0,Argon,Fiber,Gaussian,657.1755254341473,5.372235190257675,9267.198688748758,52237.774367625185,11.545652389002365,3157756794965050.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_200ns_ACM_100mJ_Halpha_Fri May 22 2026_13.25.46_4.asc,40,0.018,500,200,6.0,Argon,Fiber,Gaussian,657.189568027882,5.3651131630469395,12064.648615707367,67911.84600992597,11.715558426777019,3151478926824869.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_200ns_ACM_100mJ_Halpha_Fri May 22 2026_13.26.17_5.asc,50,0.018,500,200,6.0,Argon,Fiber,Gaussian,657.1806196593267,5.38394226634765,15161.41285168635,85626.45356245083,11.694576781917238,3168085298757219.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_12.50.35_1.asc,10,0.018,500,50,6.0,Argon,Fiber,Gaussian,657.748841824785,7.522330957532294,2887.5111631359705,21062.74884708999,13.11687199208311,5232251761078213.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.01.18_2.asc,10,0.018,500,100,,,,Gaussian,657.4826204382924,6.8103675840145526,2961.8146542540535,20269.98101282448,12.248675940752019,4507260310855897.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.01.36_3.asc,10,0.018,500,200,,,,Gaussian,657.1837475911101,5.390799834899846,2584.8060089634373,14614.40893566438,11.387443236578628,3174140569616677.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.02.21_4.asc,10,0.018,500,300,,,,Gaussian,657.0642339644543,4.369986208843193,2080.1031029064156,9649.719920425101,11.153191149745684,2316604119373717.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.02.45_5.asc,10,0.018,500,400,,,,Gaussian,656.9740772741868,3.6431138206929963,1545.7849372521594,5992.533764576946,11.554529095958886,1763283399597286.0,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.03.52_6.asc,10,0.018,500,500,,,,Gaussian,656.9250876605577,3.145397455139652,1230.942226880185,4121.267553619394,12.236108330887442,1414507804229660.2,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.04.27_7.asc,10,0.018,500,600,,,,Gaussian,656.8655292020027,2.726417646537931,988.9163817455858,2870.0102639068677,13.313460689675003,1141440765271757.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.04.42_8.asc,10,0.018,500,700,,,,Gaussian,656.8615236346501,2.4400630642069725,1005.1571612571071,2610.76143646079,14.065888935419718,966360452115113.5,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.05.04_9.asc,10,0.018,500,800,,,,Gaussian,656.8409613962024,2.133959504148158,856.9365274795347,1946.5566095405752,15.603186507327072,790268662723281.2,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.05.20_10.asc,10,0.018,500,900,,,,Gaussian,656.8130964884772,2.0269373784712093,695.3469102511792,1500.286048444854,14.950329792660705,731537518310603.4,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.05.37_11.asc,10,0.018,500,1000,,,,Gaussian,656.8282388454699,1.8512924272549713,581.7597979211844,1146.438972178649,13.499845068121044,638482832586998.1,Simple power-law (8.02e12)
PVC_Air_GW_500ns_GD_ACM_10_100mJ_Halpha_Fri May 22 2026_13.06.18_12.asc,10,0.018,500,1100,,,,Gaussian,656.8364094590465,1.4090038672225975,473.3535847947348,709.9537638926872,14.078989516363276,423771962844647.2,Simple power-law (8.02e12)
